GameID,BoardSize,PlayerX,PlayerO,Winner,NumTurns,TotalRunTimeSec
215,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.073740
216,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,171.430430
217,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.491425
218,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,59.071097
219,5x5,GeminiAI,MinimaxAI,Draw,25,10.726157
220,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.288726
221,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,107.489605
222,5x5,MinimaxAI,MinimaxAI,Draw,0,2.409589
223,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.048534
224,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,170.793931
225,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.240698
226,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,60.370507
227,5x5,GeminiAI,MinimaxAI,Draw,25,11.389290
228,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.227266
229,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,108.078285
230,5x5,MinimaxAI,MinimaxAI,Draw,0,2.421263
231,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,1.974721
232,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,169.142373
233,5x5,MinimaxAI,AlphaBetaAI,Draw,25,2.526276
234,5x5,MinimaxAI,ExpectiminimaxAI,Draw,25,58.073850
235,5x5,GeminiAI,MinimaxAI,Draw,25,15.699749
236,5x5,AlphaBetaAI,MinimaxAI,Draw,0,2.198736
237,5x5,ExpectiminimaxAI,MinimaxAI,Draw,0,108.747999
238,5x5,MinimaxAI,MinimaxAI,Draw,0,2.934773
239,5x5,AlphaBetaAI,AlphaBetaAI,Draw,0,2.530371
240,5x5,ExpectiminimaxAI,ExpectiminimaxAI,Draw,0,164.986909
